date,gyógypedagógus,tanár,tanító,óvodapedagógus,orvos,védőnő
06/14/2022,420,2100,na,853,na,na
06/26/2022,445,2433,na,na,na,na
06/27/2022,499,2577,na,1013,257,74
06/28/2022,518,2607,1234,1017,245,71
06/29/2022,520,2623,1232,1022,241,73
06/30/2022,509,2560,1211,1018,231,73
07/01/2022,480,2440,1179,938,164,66
07/03/2022,507,2549,1207,925,186,70
07/04/2022,539,2660,1252,964,210,74
07/07/2022,575,2731,1300,967,199,68
07/08/2022,594,2799,1335,989,201,69
07/09/2022,607,2868,1368,970,200,65
07/10/2022,610,2969,1407,984,206,68
07/11/2022,648,3062,1452,1035,205,73
07/12/2022,659,3102,1460,1055,200,71
07/13/2022,652,3053,1437,1063,211,69
07/14/2022,649,3030,1425,1057,208,68
07/15/2022,657,3069,1434,1074,211,67
07/16/2022,619,2866,1324,977,208,61
07/17/2022,614,2823,1310,977,212,62
07/18/2022,646,2907,1350,1024,205,64
07/19/2022,656,2898,1370,1008,213,64
07/20/2022,657,2884,1369,1016,214,66
07/21/2022,599,2738,1292,990,205,59
07/22/2022,611,2787,1301,1015,206,63
07/23/2022,605,2786,1318,968,199,61
07/24/2022,614,2814,1334,978,199,61
07/25/2022,627,2877,1345,1021,207,63
07/26/2022,585,2799,1284,979,210,64
07/27/2022,557,2770,1265,983,211,62
07/28/2022,537,2694,1223,953,210,60
07/29/2022,547,2718,1244,955,209,63
07/30/2022,537,2714,1222,890,202,62
07/31/2022,527,2688,1217,885,201,63
08/01/2022,474,2258,1041,857,174,58
08/02/2022,427,2101,945,803,171,56
08/03/2022,427,2086,938,806,167,54
08/04/2022,408,2018,905,807,166,54
08/05/2022,419,2056,919,844,169,56
08/06/2022,411,2014,910,793,175,58
08/07/2022,432,2125,950,800,180,58
08/08/2022,435,2134,946,840,210,62
08/09/2022,389,1925,868,782,205,62
08/10/2022,384,1846,846,783,204,61
08/11/2022,342,1580,686,740,201,59
08/12/2022,352,1605,689,752,208,68
08/13/2022,329,1406,594,708,209,65
08/14/2022,330,1432,609,708,208,65
08/15/2022,337,1455,615,735,216,68
08/16/2022,269,1246,537,618,206,61
08/17/2022,254,1129,482,584,209,61
08/18/2022,239,1000,431,568,209,61
08/19/2022,209,994,435,569,215,61
08/20/2022,197,897,398,475,213,59
08/21/2022,184,859,381,458,213,57
08/22/2022,173,820,363,474,206,55
08/23/2022,150,679,293,381,196,52
08/24/2022,142,635,276,370,195,52
08/25/2022,135,590,243,357,200,49
08/26/2022,125,592,227,334,204,51
08/27/2022,116,585,240,288,217,48
08/28/2022,109,576,237,291,217,45
08/29/2022,120,567,234,311,231,48
08/30/2022,116,527,212,299,226,45
08/31/2022,101,439,178,264,222,45
09/01/2022,95,394,160,224,205,34
09/02/2022,96,397,160,228,205,33
09/03/2022,101,410,166,228,205,36
09/06/2022,97,345,143,230,219,40
09/07/2022,95,323,132,225,229,42
09/08/2022,93,306,128,230,226,42
09/09/2022,87,309,129,240,219,45
09/10/2022,92,325,131,238,220,46
09/12/2022,101,319,127,258,222,46
09/14/2022,99,298,114,255,219,42
09/15/2022,102,295,110,250,219,42
09/16/2022,101,295,110,243,204,36
09/17/2022,96,305,119,240,209,39
09/18/2022,104,319,123,240,210,39
09/19/2022,104,333,123,265,226,42
09/20/2022,108,345,126,269,234,44
09/21/2022,105,334,120,264,237,42
09/23/2022,105,354,128,271,243,44
09/24/2022,113,354,133,255,204,43
09/25/2022,116,365,135,257,208,44
09/26/2022,118,367,135,273,201,47
09/27/2022,116,371,139,261,186,44
09/29/2022,100,340,131,256,183,43
09/30/2022,109,334,128,245,185,43
10/01/2022,118,361,140,222,160,36
10/02/2022,122,371,147,224,163,37
10/03/2022,151,497,234,253,193,45
10/04/2022,143,487,233,250,206,46
10/05/2022,144,485,232,249,199,45
10/06/2022,142,464,225,240,198,46
10/07/2022,155,491,242,243,203,54
10/09/2022,178,540,263,235,219,56
10/11/2022,176,569,265,259,211,66
10/12/2022,175,556,262,269,204,67
10/13/2022,174,546,257,257,205,66
10/14/2022,176,553,261,265,208,70
10/15/2022,175,573,264,249,197,71
10/16/2022,174,590,270,248,191,68
10/18/2022,175,586,263,258,223,66
10/21/2022,175,586,268,265,224,64
10/22/2022,165,593,273,253,207,59
10/23/2022,167,612,282,257,207,60
10/24/2022,169,628,292,274,206,61
10/27/2022,173,598,281,264,195,54
10/28/2022,157,594,289,272,198,55
10/29/2022,145,594,290,262,186,53
10/30/2022,151,617,299,266,190,54
10/31/2022,147,646,312,284,188,59
11/01/2022,139,552,273,261,177,51
11/02/2022,138,551,276,271,180,55
11/03/2022,123,431,194,263,180,57
11/04/2022,122,425,191,262,181,56
11/05/2022,117,408,181,254,181,55
11/06/2022,119,415,184,253,187,54
11/07/2022,118,421,173,259,199,52
11/08/2022,121,436,172,253,204,57
11/09/2022,120,416,160,254,206,58
11/10/2022,115,407,155,258,205,57
11/11/2022,120,447,163,257,207,56
11/12/2022,125,474,174,251,206,56
11/14/2022,164,541,197,279,224,58
11/15/2022,164,563,209,280,234,60
11/16/2022,162,543,200,277,231,55
11/17/2022,159,526,196,266,226,53
11/18/2022,171,572,209,269,225,58
11/19/2022,171,583,216,261,226,56
11/20/2022,177,599,223,268,225,57
11/21/2022,178,620,232,299,235,59
11/22/2022,159,624,233,285,234,57
11/23/2022,160,621,225,280,234,59
11/26/2022,154,593,226,271,232,56
11/28/2022,171,639,240,293,243,61
11/29/2022,173,641,239,298,245,60
12/02/2022,145,564,215,267,210,46
12/03/2022,149,561,210,268,211,46
12/04/2022,148,569,215,267,216,47
12/05/2022,144,568,214,283,221,49
12/06/2022,136,553,209,281,228,47
12/07/2022,134,543,201,272,223,46
